;Auctions;Order;obname;agent;Oid;type;dir;price;quty;validity
382;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
383;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
384;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
385;Auctions;##############################;;;;;;;;
386;Auctions;##############################;;;;;;;;
387;Auctions;##############################;;;;;;;;
388;Auctions;##############################;;;;;;;;
389;Auctions;##############################;;;;;;;;
390;Auctions;Order;lvmh;seller;2.0;L;B;120.0;2090.0;-1.0
391;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
392;Auctions;Order;lvmh;paul2;2.0;L;B;58.0;13.0;2.0
393;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
394;Auctions;Order;lvmh;paul3;2.0;L;B;57.0;94.0;2.0
395;Auctions;##############################;;;;;;;;
396;Auctions;##############################;;;;;;;;
397;Auctions;##############################;;;;;;;;
398;Auctions;##############################;;;;;;;;
399;Auctions;##############################;;;;;;;;
400;Auctions;Order;lvmh;paul1;2.0;L;A;61.0;0.0;3.0
401;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
402;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
403;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
404;Auctions;##############################;;;;;;;;
405;Auctions;##############################;;;;;;;;
406;Auctions;##############################;;;;;;;;
407;Auctions;##############################;;;;;;;;
408;Auctions;##############################;;;;;;;;
409;Auctions;##############################;;;;;;;;
410;Auctions;Order;lvmh;seller;2.0;L;B;120.0;2006.0;-1.0
411;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
412;Auctions;Order;lvmh;paul2;2.0;L;B;58.0;13.0;2.0
413;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
414;Auctions;Order;lvmh;paul3;2.0;L;B;57.0;94.0;2.0
415;Auctions;##############################;;;;;;;;
416;Auctions;##############################;;;;;;;;
417;Auctions;##############################;;;;;;;;
418;Auctions;##############################;;;;;;;;
419;Auctions;##############################;;;;;;;;
420;Auctions;Order;lvmh;paul1;2.0;L;A;61.0;0.0;3.0
421;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
422;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
423;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
424;Auctions;##############################;;;;;;;;
425;Auctions;##############################;;;;;;;;
426;Auctions;##############################;;;;;;;;
427;Auctions;##############################;;;;;;;;
428;Auctions;##############################;;;;;;;;
429;Auctions;##############################;;;;;;;;
430;Auctions;Order;lvmh;seller;2.0;L;B;120.0;2006.0;-1.0
431;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
432;Auctions;Order;lvmh;paul2;2.0;L;B;58.0;13.0;2.0
433;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
434;Auctions;Order;lvmh;paul3;2.0;L;B;57.0;94.0;2.0
435;Auctions;##############################;;;;;;;;
436;Auctions;##############################;;;;;;;;
437;Auctions;##############################;;;;;;;;
438;Auctions;##############################;;;;;;;;
439;Auctions;##############################;;;;;;;;
440;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;0.0;2.0
441;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
442;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
443;Auctions;##############################;;;;;;;;
444;Auctions;##############################;;;;;;;;
445;Auctions;##############################;;;;;;;;
446;Auctions;##############################;;;;;;;;
447;Auctions;##############################;;;;;;;;
448;Auctions;##############################;;;;;;;;
449;Auctions;##############################;;;;;;;;
450;Auctions;Order;lvmh;seller;2.0;L;B;120.0;1950.0;-1.0
451;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
452;Auctions;Order;lvmh;paul2;2.0;L;B;58.0;13.0;2.0
453;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
454;Auctions;Order;lvmh;paul3;2.0;L;B;57.0;94.0;2.0
455;Auctions;##############################;;;;;;;;
456;Auctions;##############################;;;;;;;;
457;Auctions;##############################;;;;;;;;
458;Auctions;##############################;;;;;;;;
459;Auctions;##############################;;;;;;;;
460;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;0.0;2.0
461;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
462;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
463;Auctions;##############################;;;;;;;;
464;Auctions;##############################;;;;;;;;
465;Auctions;##############################;;;;;;;;
466;Auctions;##############################;;;;;;;;
467;Auctions;##############################;;;;;;;;
468;Auctions;##############################;;;;;;;;
469;Auctions;##############################;;;;;;;;
470;Auctions;Order;lvmh;seller;2.0;L;B;120.0;1950.0;-1.0
471;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
