;Tick;numtick;obname;bestask;bestbid;price;quty;volatility;cum_quty;return;volatility_return
187;Tick;188;lvmh;0.201;0.199;0.2;10500;0.538091778755188;374791;0.0;0.08884466123114887
188;Tick;189;lvmh;0.2;0.199;0.2;0;0.5386707186698914;374791;0.0;0.08860938736780503
189;Tick;190;lvmh;0.2;0.199;0.2;9901;0.5392218232154846;384692;0.0;0.08837597262671215
190;Tick;191;lvmh;0.2;0.199;0.2;0;0.5397459864616394;384692;0.0;0.08814439265368983
191;Tick;192;lvmh;0.2;0.199;0.2;2807;0.54024338722229;387499;0.0;0.08791462353884107
192;Tick;193;lvmh;0.2;0.199;0.2;0;0.5407153367996216;387499;0.0;0.08768664180619064
193;Tick;194;lvmh;0.2;0.199;0.2;0;0.5411627292633057;387499;0.0;0.08746042440360857
194;Tick;195;lvmh;0.2;0.199;0.2;0;0.5415862798690796;387499;0.0;0.08723594869302499
195;Tick;196;lvmh;0.2;0.199;0.2;665;0.5419861674308777;388164;0.0;0.08701319244091814
196;Tick;197;lvmh;0.2;0.199;0.2;0;0.5423636436462402;388164;0.0;0.08679213380906593
197;Tick;198;lvmh;0.2;0.199;0.2;0;0.542719304561615;388164;0.0;0.08657275134555695
198;Tick;199;lvmh;0.2;0.199;0.2;0;0.543053150177002;388164;0.0;0.08635502397605045
199;Tick;200;lvmh;0.2;0.199;0.2;0;0.5433670282363892;388164;0.0;0.08613893099527103
200;Tick;201;lvmh;0.2;0.199;0.2;0;0.5436602234840393;388164;0.0;0.08592445205874501
201;Tick;202;lvmh;0.2;0.199;0.2;0;0.5439345240592957;388164;0.0;0.08571156717475684
202;Tick;203;lvmh;0.2;0.199;0.2;0;0.5441896319389343;388164;0.0;0.08550025669652249
203;Tick;204;lvmh;0.2;0.199;0.2;0;0.5444262027740479;388164;0.0;0.08529050131457845
204;Tick;205;lvmh;0.2;0.199;0.2;0;0.5446447730064392;388164;0.0;0.08508228204936984
205;Tick;206;lvmh;0.2;0.199;0.2;0;0.5448460578918457;388164;0.0;0.08487558024403931
206;Tick;207;lvmh;0.2;0.199;0.2;0;0.5450311303138733;388164;0.0;0.08467037755741075
207;Tick;208;lvmh;0.2;0.199;0.2;0;0.5451989769935608;388164;0.0;0.0844666559571504
208;Tick;209;lvmh;0.2;0.199;0.2;0;0.5453509092330933;388164;0.0;0.08426439771311713
209;Tick;210;lvmh;0.2;0.199;0.2;0;0.5454877018928528;388164;0.0;0.08406358539087812
210;Tick;211;lvmh;0.2;0.199;0.2;19;0.5456096529960632;388183;0.0;0.08386420184540405
211;Tick;212;lvmh;0.2;0.199;0.2;0;0.5457162261009216;388183;0.0;0.08366623021491865
212;Tick;213;lvmh;0.2;0.199;0.2;0;0.5458088517189026;388183;0.0;0.08346965391490899
213;Tick;214;lvmh;0.2;0.199;0.2;0;0.5458880662918091;388183;0.0;0.08327445663229671
214;Tick;215;lvmh;0.2;0.199;0.2;0;0.5459540486335754;388183;0.0;0.08308062231974901
215;Tick;216;lvmh;0.2;0.199;0.2;0;0.5460058450698853;388183;0.0;0.0828881351901411
216;Tick;217;lvmh;0.2;0.199;0.2;0;0.5460458397865295;388183;0.0;0.08269697971115342
217;Tick;218;lvmh;0.2;0.199;0.2;0;0.5460730791091919;388183;0.0;0.08250714060001405
218;Tick;219;lvmh;0.2;0.199;0.2;0;0.5460883378982544;388183;0.0;0.08231860281836205
219;Tick;220;lvmh;0.2;0.199;0.199;7;0.5460918545722961;388190;0.005000010132789612;0.0821313515672512
220;Tick;221;lvmh;0.2;0.199;0.199;0;0.5460127592086792;388190;0.0;0.0819482685256845
221;Tick;222;lvmh;0.2;0.199;0.199;0;0.5459229946136475;388190;0.0;0.08176353029072357
222;Tick;223;lvmh;0.2;0.199;0.199;0;0.5458244681358337;388190;0.0;0.08158003575801495
223;Tick;224;lvmh;0.2;0.199;0.199;0;0.5457158088684082;388190;0.0;0.08139777103587552
224;Tick;225;lvmh;0.2;0.199;0.2;33219;0.5455994606018066;421409;-0.0050251358188688755;0.0812167224488771
